"type","full_url","id","is_secure","host","url","responseCode","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","frame_id","created","load_start","priority","socket","socket_group","objectSizeUncompressed","netlog_id","ttfb_ms","load_ms","load_start_float","expires","cacheControl","contentType","bytesIn","objectSize","ip_addr","server_port","bytesOut","request_id","raw_id","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","method","documentURL","request_type","contentEncoding","protocol","initiator","initiator_line","initiator_column","initiator_type","initial_priority","server_rtt","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","final_base_page","is_base_page","cpu.EvaluateScript","cpu.v8.compile","cpuTime","renderBlocking",
"3","http://i.pki.goog/wr1.crt","240710_BiDcFN_302","0","i.pki.goog","/wr1.crt","200","-1","-1","-1","-1","-1","-1","-1","-1","-1","220","171","-1","","","","","","","","","","782","1002","1002","1173","-1","-1","589C77817290366F063D69CB5D78D0A3","781","1173","Lowest","125","dsd/pm/http://i.pki.goog <http://pki.goog same_site>","1295","106","176","177","1173.000106","Wed, 10 Jul 2024 04:49:34 GMT","public, max-age=3000","application/pkix-cert","1295","1295","142.251.111.94","80","0","99999.99999.1","99999.99999.1","1350","1173","1349","1349","1350","1","782","1350","568","0","1","1","0","","","","","","","","","","","","","","","","","","","","","",
"3","https://e-tournament.infinityfreeapp.com/?i=1","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/?i=1","200","-1","-1","100","-1","100","-1","-1","-1","-1","260","255","839","696","0","","","","","","","","2","262","262","517","517","1356","589C77817290366F063D69CB5D78D0A3","96","1357","Highest","94","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","844","81","258","259","1357.000081","Thu, 01 Jan 1970 00:00:01 GMT","no-cache","text/html","449","449","185.27.134.133","443","2098","9767D2D862E0DBFE2FD76E4D6CA4EEE0","9767D2D862E0DBFE2FD76E4D6CA4EEE0","1616","1357","1615","1615","1616","1","2","1616","1613","1","2","1","0","GET","https://e-tournament.infinityfreeapp.com/?i=1","Document","br","http/1.1","https://e-tournament.infinityfreeapp.com/?i=1","","","script","Highest","","TLS 1.3","False","http/1.1","4866","1","1","20","0","20","",
"3","https://e-tournament.infinityfreeapp.com/aes.js","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/aes.js","200","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","5141","0","","","","","0","","","-1","-1","-1","-1","-1","-1","589C77817290366F063D69CB5D78D0A3","1687","1688","High","94","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","13733","131","260","263","1688.000131","","","application/javascript","4874","4874","185.27.134.133","443","1774","90089.2","90089.2","1951","1688","1948","1948","1951","3","1688","1951","263","2","3","1","0","GET","https://e-tournament.infinityfreeapp.com/?i=1","Script","br","http/1.1","https://e-tournament.infinityfreeapp.com/?i=1","0","","parser","High","","","","","","","","1","0","1","in_body_parser_blocking",
"3","https://e-tournament.infinityfreeapp.com/?i=2","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/?i=2","200","-1","-1","100","-1","100","-1","-1","-1","-1","-1","-1","-1","900","0","","","","","","","","-1","-1","-1","-1","-1","-1","589C77817290366F063D69CB5D78D0A3","1993","1997","Highest","94","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","2578","141","267","268","1997.000141","Wed, 10 Jul 2024 03:59:33 GMT","max-age=0","text/html","632","632","185.27.134.133","443","2428","15C85B4127BE33C71A4B9FD15AC1F233","15C85B4127BE33C71A4B9FD15AC1F233","2265","1997","2264","2264","2265","1","1997","2265","268","3","4","1","0","GET","https://e-tournament.infinityfreeapp.com/?i=2","Document","br","http/1.1","https://e-tournament.infinityfreeapp.com/?i=1","0","631","script","Highest","","","","","","","","1","0","1","",
"3","https://e-tournament.infinityfreeapp.com/login.css","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/login.css","200","100","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","910","0","","","","","2592000","","","-1","-1","-1","-1","-1","-1","589C77817290366F063D69CB5D78D0A3","2327","2328","Highest","94","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","2015","154","260","261","2328.000154","Fri, 09 Aug 2024 03:59:33 GMT","max-age=2592000, public, proxy-revalidate, must-revalidate","text/css","534","534","185.27.134.133","443","1969","90089.5","90089.5","2589","2328","2588","2588","2589","1","2328","2589","261","4","5","1","0","GET","https://e-tournament.infinityfreeapp.com/?i=2","Stylesheet","br","http/1.1","https://e-tournament.infinityfreeapp.com/?i=2","14","","parser","Highest","","","","","","","","","","","blocking",
"3","https://e-tournament.infinityfreeapp.com/assets/bp.png","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/assets/bp.png","200","100","0","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","64236","0","2592000","","","-1","-1","-1","-1","-1","-1","589C77817290366F063D69CB5D78D0A3","2606","2610","High","94","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","64236","160","261","798","2610.00016","Fri, 09 Aug 2024 03:59:33 GMT","max-age=2592000, public, proxy-revalidate","image/png","64236","64236","185.27.134.133","443","2122","90089.7","90089.7","3408","2610","2871","2871","3408","537","2610","3408","798","5","6","1","0","GET","https://e-tournament.infinityfreeapp.com/?i=2","Image","","http/1.1","https://e-tournament.infinityfreeapp.com/login.css","","","parser","Low","","","","","","","","","","","",
"3","https://e-tournament.infinityfreeapp.com/assets/smks.png","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/assets/smks.png","200","100","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","99993","0","2592000","","","-1","-1","-1","-1","-1","-1","589C77817290366F063D69CB5D78D0A3","3430","3432","High","94","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","99993","166","260","539","3432.000166","Fri, 09 Aug 2024 03:59:34 GMT","max-age=2592000, public, proxy-revalidate","image/png","99993","99993","185.27.134.133","443","2107","90089.8","90089.8","3971","3432","3692","3692","3971","279","3432","3971","539","6","7","1","0","GET","https://e-tournament.infinityfreeapp.com/?i=2","Other","","http/1.1","","","","other","High","","","","","","","","","","","",
"3","http://i.pki.goog/wr1.crt","240710_BiDcFN_302","0","i.pki.goog","/wr1.crt","200","-1","-1","-1","-1","-1","-1","-1","-1","-1","207","177","-1","","","","","","","","","","802","1009","1009","1186","-1","-1","86D03882F0BC6FA75F95F703BE86E879","800","1187","Lowest","126","dsd/pm/http://i.pki.goog <http://pki.goog same_site>","1295","97","175","176","1187.000097","Wed, 10 Jul 2024 04:49:34 GMT","public, max-age=3000","application/pkix-cert","1295","1295","142.251.16.94","80","0","99999.99999.1","99999.99999.1","1363","1187","1362","1362","1363","1","802","1363","560","0","1","2","0","","","","","","","","","","","","","","","","","","","","","",
"3","https://e-tournament.infinityfreeapp.com/?i=1","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/?i=1","200","-1","-1","100","-1","100","-1","-1","-1","-1","269","261","838","696","0","","","","","","","","1","270","270","531","531","1369","86D03882F0BC6FA75F95F703BE86E879","17","1370","Highest","87","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","844","80","262","263","1370.00008","Thu, 01 Jan 1970 00:00:01 GMT","no-cache","text/html","449","449","185.27.134.133","443","2098","EA8ABA6576266D7378CA55330AB85946","EA8ABA6576266D7378CA55330AB85946","1633","1370","1632","1632","1633","1","1","1633","1631","1","2","2","0","GET","https://e-tournament.infinityfreeapp.com/?i=1","Document","br","http/1.1","https://e-tournament.infinityfreeapp.com/?i=1","","","script","Highest","","TLS 1.3","False","http/1.1","4866","1","1","31","2","33","",
"3","https://e-tournament.infinityfreeapp.com/aes.js","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/aes.js","200","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","5141","0","","","","","0","","","-1","-1","-1","-1","-1","-1","86D03882F0BC6FA75F95F703BE86E879","1677","1678","High","87","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","13733","130","265","294","1678.00013","","","application/javascript","4874","4874","185.27.134.133","443","1774","122518.2","122518.2","1972","1678","1943","1943","1972","29","1678","1972","294","2","3","2","0","GET","https://e-tournament.infinityfreeapp.com/?i=1","Script","br","http/1.1","https://e-tournament.infinityfreeapp.com/?i=1","0","","parser","High","","","","","","","","4","2","6","in_body_parser_blocking",
"3","https://e-tournament.infinityfreeapp.com/?i=2","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/?i=2","200","-1","-1","100","-1","100","-1","-1","-1","-1","-1","-1","-1","900","0","","","","","","","","-1","-1","-1","-1","-1","-1","86D03882F0BC6FA75F95F703BE86E879","2044","2045","Highest","87","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","2578","142","268","275","2045.000142","Wed, 10 Jul 2024 03:59:33 GMT","max-age=0","text/html","632","632","185.27.134.133","443","2428","5D20FB3D274FAF28516B4D733281BC5B","5D20FB3D274FAF28516B4D733281BC5B","2320","2045","2313","2313","2320","7","2045","2320","275","3","4","2","0","GET","https://e-tournament.infinityfreeapp.com/?i=2","Document","br","http/1.1","https://e-tournament.infinityfreeapp.com/?i=1","0","631","script","Highest","","","","","","","","6","0","7","",
"3","https://e-tournament.infinityfreeapp.com/login.css","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/login.css","200","100","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","910","0","","","","","2592000","","","-1","-1","-1","-1","-1","-1","86D03882F0BC6FA75F95F703BE86E879","2378","2380","Highest","87","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","2015","153","264","265","2380.000153","Fri, 09 Aug 2024 03:59:33 GMT","max-age=2592000, public, proxy-revalidate, must-revalidate","text/css","534","534","185.27.134.133","443","1969","122518.5","122518.5","2645","2380","2644","2644","2645","1","2380","2645","265","4","5","2","0","GET","https://e-tournament.infinityfreeapp.com/?i=2","Stylesheet","br","http/1.1","https://e-tournament.infinityfreeapp.com/?i=2","14","","parser","Highest","","","","","","","","","","","blocking",
"3","https://e-tournament.infinityfreeapp.com/assets/bp.png","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/assets/bp.png","200","100","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","64236","0","2592000","","","-1","-1","-1","-1","-1","-1","86D03882F0BC6FA75F95F703BE86E879","2669","2670","High","87","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","64236","159","268","817","2670.000159","Fri, 09 Aug 2024 03:59:34 GMT","max-age=2592000, public, proxy-revalidate","image/png","64236","64236","185.27.134.133","443","2122","122518.7","122518.7","3487","2670","2938","2938","3487","549","2670","3487","817","5","6","2","0","GET","https://e-tournament.infinityfreeapp.com/?i=2","Image","","http/1.1","https://e-tournament.infinityfreeapp.com/login.css","","","parser","Low","","","","","","","","","","","",
"3","https://e-tournament.infinityfreeapp.com/assets/smks.png","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/assets/smks.png","200","100","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","99993","0","2592000","","","-1","-1","-1","-1","-1","-1","86D03882F0BC6FA75F95F703BE86E879","3514","3519","High","87","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","99993","165","266","552","3519.000165","Fri, 09 Aug 2024 03:59:35 GMT","max-age=2592000, public, proxy-revalidate","image/png","99993","99993","185.27.134.133","443","2107","122518.8","122518.8","4071","3519","3785","3785","4071","286","3519","4071","552","6","7","2","0","GET","https://e-tournament.infinityfreeapp.com/?i=2","Other","","http/1.1","","","","other","High","","","","","","","","","","","",
"3","http://i.pki.goog/wr1.crt","240710_BiDcFN_302","0","i.pki.goog","/wr1.crt","200","-1","-1","-1","-1","-1","-1","-1","-1","-1","219","171","-1","","","","","","","","","","725","944","944","1115","-1","-1","44B832C4967CE2A65F90B9D0C91F1AF3","724","1116","Lowest","125","dsd/pm/http://i.pki.goog <http://pki.goog same_site>","1295","112","175","176","1116.000112","Wed, 10 Jul 2024 04:49:34 GMT","public, max-age=3000","application/pkix-cert","1295","1295","172.253.122.94","80","0","99999.99999.1","99999.99999.1","1292","1116","1291","1291","1292","1","725","1292","566","0","1","3","0","","","","","","","","","","","","","","","","","","","","","",
"3","https://e-tournament.infinityfreeapp.com/?i=1","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/?i=1","200","-1","-1","100","-1","100","-1","-1","-1","-1","202","255","840","696","0","","","","","","","","1","203","203","458","458","1298","44B832C4967CE2A65F90B9D0C91F1AF3","14","1299","Highest","93","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","844","80","257","258","1299.00008","Thu, 01 Jan 1970 00:00:01 GMT","no-cache","text/html","449","449","185.27.134.133","443","2098","B31A261621B810A88A12AA2DA4995A4D","B31A261621B810A88A12AA2DA4995A4D","1557","1299","1556","1556","1557","1","1","1557","1555","1","2","3","0","GET","https://e-tournament.infinityfreeapp.com/?i=1","Document","br","http/1.1","https://e-tournament.infinityfreeapp.com/?i=1","","","script","Highest","","TLS 1.3","False","http/1.1","4866","1","1","29","4","33","",
"3","https://e-tournament.infinityfreeapp.com/aes.js","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/aes.js","200","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","5141","0","","","","","0","","","-1","-1","-1","-1","-1","-1","44B832C4967CE2A65F90B9D0C91F1AF3","1642","1643","High","93","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","13733","130","260","262","1643.00013","","","application/javascript","4874","4874","185.27.134.133","443","1774","15120.2","15120.2","1905","1643","1903","1903","1905","2","1643","1905","262","2","3","3","0","GET","https://e-tournament.infinityfreeapp.com/?i=1","Script","br","http/1.1","https://e-tournament.infinityfreeapp.com/?i=1","0","","parser","High","","","","","","","","5","5","10","in_body_parser_blocking",
"3","https://e-tournament.infinityfreeapp.com/?i=2","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/?i=2","200","-1","-1","100","-1","100","-1","-1","-1","-1","-1","-1","-1","900","0","","","","","","","","-1","-1","-1","-1","-1","-1","44B832C4967CE2A65F90B9D0C91F1AF3","1965","1969","Highest","93","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","2578","140","264","265","1969.00014","Wed, 10 Jul 2024 03:59:34 GMT","max-age=0","text/html","632","632","185.27.134.133","443","2428","DB2B8A54018942AE32031CCDC19D2FA4","DB2B8A54018942AE32031CCDC19D2FA4","2234","1969","2233","2233","2234","1","1969","2234","265","3","4","3","0","GET","https://e-tournament.infinityfreeapp.com/?i=2","Document","br","http/1.1","https://e-tournament.infinityfreeapp.com/?i=1","0","631","script","Highest","","","","","","","","1","0","1","",
"3","https://e-tournament.infinityfreeapp.com/login.css","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/login.css","200","100","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","910","0","","","","","2592000","","","-1","-1","-1","-1","-1","-1","44B832C4967CE2A65F90B9D0C91F1AF3","2331","2332","Highest","93","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","2015","151","260","262","2332.000151","Fri, 09 Aug 2024 03:59:35 GMT","max-age=2592000, public, proxy-revalidate, must-revalidate","text/css","534","534","185.27.134.133","443","1969","15120.5","15120.5","2594","2332","2592","2592","2594","2","2332","2594","262","4","5","3","0","GET","https://e-tournament.infinityfreeapp.com/?i=2","Stylesheet","br","http/1.1","https://e-tournament.infinityfreeapp.com/?i=2","14","","parser","Highest","","","","","","","","","","","blocking",
"3","https://e-tournament.infinityfreeapp.com/assets/bp.png","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/assets/bp.png","200","100","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","64236","0","2592000","","","-1","-1","-1","-1","-1","-1","44B832C4967CE2A65F90B9D0C91F1AF3","2605","2606","High","93","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","64236","159","261","802","2606.000159","Fri, 09 Aug 2024 03:59:35 GMT","max-age=2592000, public, proxy-revalidate","image/png","64236","64236","185.27.134.133","443","2122","15120.7","15120.7","3408","2606","2867","2867","3408","541","2606","3408","802","5","6","3","0","GET","https://e-tournament.infinityfreeapp.com/?i=2","Image","","http/1.1","https://e-tournament.infinityfreeapp.com/login.css","","","parser","Low","","","","","","","","","","","",
"3","https://e-tournament.infinityfreeapp.com/assets/smks.png","240710_BiDcFN_302","1","e-tournament.infinityfreeapp.com","/assets/smks.png","200","100","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","99993","0","2592000","","","-1","-1","-1","-1","-1","-1","44B832C4967CE2A65F90B9D0C91F1AF3","3472","3473","High","93","https://e-tournament.infinityfreeapp.com <https://infinityfreeapp.com same_site>","99993","165","261","548","3473.000165","Fri, 09 Aug 2024 03:59:36 GMT","max-age=2592000, public, proxy-revalidate","image/png","99993","99993","185.27.134.133","443","2107","15120.8","15120.8","4021","3473","3734","3734","4021","287","3473","4021","548","6","7","3","0","GET","https://e-tournament.infinityfreeapp.com/?i=2","Other","","http/1.1","","","","other","High","","","","","","","","","","","",
